Date,Stock,Company,Sector,Close Price,Daily Gain %,Week Gain %,Volume Spike (x avg),RSI (14d),52W High,52W Low,Dist from 52W High %,Sector Weekly Gain %,Market Cap,P/E Ratio,Revenue (Cr),Revenue QoQ %,Revenue YoY %,Net Profit (Cr),Profit QoQ %,Profit YoY %,Operating Profit (Cr),EBITDA Margin %,EPS,EPS Growth YoY %,Operating CF (Cr),Debt to Equity,ROE %,ROCE %,Growth Flags,News (Last 2 Days)
2026-08-13,EDELWEISS.NS,EDELWEISS FIN SERV LTD,Financial Services,124.88,5.03,3.07,3.13,68.2,130.28,114.08,-4.14,-0.74,118202867712,16.74,1866.9,32.42,19.8,122.22,39.52,83.05,N/A,N/A,1.42,29.09,N/A,3.2,N/A,N/A,Revenue +32.42% QoQ | Profit +83.05% YoY | Profit +39.52% QoQ,No recent news
2026-08-13,IRCON.NS,IRCON INTERNATIONAL LTD,Industrials,,,,2.16,,140.72,124.52,,0.0,118410928128,19.16,3188.98,50.49,-6.54,191.6,90.34,-9.13,389.15,12.2,2.04,-8.93,N/A,0.86,N/A,N/A,Revenue +50.49% QoQ | Profit +90.34% QoQ,"Titagarh Rail, RITES, other railway stocks rise up to 4%. Hereâs why
Nomination Of Non-Official (Independent) Director
Announcement under Regulation 30 (LODR)-Newspaper Publication
Announcement under Regulation 30 (LODR)-Press Release / Media Release
Announcement under Regulation 30 (LODR)-Investor Presentation"
2026-08-13,POONAWALLA.NS,POONAWALLA FINCORP LTD,Financial Services,,,,1.59,,490.85,399.5,,-0.74,440205443072,52.69,2277.21,12.05,100.54,307.71,20.77,393.68,1077.24,47.31,3.55,338.27,N/A,4.68,N/A,N/A,Revenue +100.54% YoY | Profit +393.68% YoY | Profit +20.77% QoQ | EPS +338.27% YoY | EBITDA Margin 47.31%,"Did violent volcanic eruptions create modern humans? A landmark 2016 study linking the East African Rift Valley to Homo sapiens around 300,000 years ago says they may have
Stock Radar: Poonawalla Fincorp showing signs of bottoming out after falling 20% from highs; time to buy?
Announcement under Regulation 30 (LODR)-Issue of Securities
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Get multiple analysts' prediction on Poonawalla Fincorp"
2026-08-13,TITAGARH.NS,TITAGARH RAIL SYSTEMS LTD,Industrials,,,,2.57,,932.6,810.4,,0.0,114573705216,94.11,875.43,5.21,-12.94,52.02,8.1,142.61,89.61,10.24,3.97,143.15,N/A,0.25,4.92,4.76,Profit +142.61% YoY | EPS +143.15% YoY,No recent news
2026-08-13,HINDCOPPER.NS,HINDUSTAN COPPER LTD,Basic Materials,,,,1.81,,547.7,473.15,,0.0,526496235520,46.22,1156.08,68.2,58.06,444.06,184.11,134.34,593.01,51.29,4.59,136.6,N/A,0.03,N/A,N/A,Revenue +58.06% YoY | Revenue +68.2% QoQ | Profit +134.34% YoY | Profit +184.11% QoQ | EPS +136.6% YoY | EBITDA Margin 51.29%,"Vedanta, Vedanta Aluminium post strong Q1 gains as metal prices lift earnings
HCL in 'positive direction' on takeover of 4 copper blocks in Chile; advisors studying data
India to require 500,000 tonnes of additional copper refining capacity every five years: ICA India
Announcement under Regulation 30 (LODR)-Newspaper Publication
Get multiple analysts' prediction on Hind Copper"
2026-08-13,LGEINDIA.NS,LG ELECTRONICS INDIA LTD,Technology,,,,1.56,,1647.8,1490.5,,1.12,1071306506240,63.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,—,"Offline vs Online: Appliance brands change models to ease discount war
He survived a terror attack, sustained five bullet injuries, lost his father young, and now leads LG Electronics India's sales division
Announcement under Regulation 30 (LODR)-Press Release / Media Release
Announcement under Regulation 30 (LODR)-Investor Presentation
Get multiple analysts' prediction on LG Electronics India"
2026-08-13,ABREL.NS,ADITYA BIRLA REAL EST LTD,Real Estate,,,,4.92,,1456.6,1237.84,,0.0,154123403264,N/A,82.0,1.5,-59.18,-104.86,0.04,-268.84,-149.98,-182.9,0.98,126.92,N/A,1.52,-8.91,-1.41,EPS +126.92% YoY,No recent news
2026-08-13,CONCOR.NS,CONTAINER CORP OF IND LTD,Industrials,,,,1.95,,524.25,450.02,,0.0,406437429248,32.56,2159.76,-4.57,0.28,266.74,1.56,0.08,380.05,17.6,3.53,0.57,N/A,0.07,N/A,N/A,—,No recent news
2026-08-13,OLECTRA.NS,OLECTRA GREENTECH LIMITED,Industrials,,,,1.59,,1537.8,1270.4,,0.0,114379505664,64.57,644.72,-2.84,43.62,55.52,19.67,164.36,106.2,16.47,6.76,164.06,N/A,0.31,N/A,N/A,Revenue +43.62% YoY | Profit +164.36% YoY | EPS +164.06% YoY,"Two Trades for Today: A realty major for a 4.95% rise, a mid-cap EV component maker’s stock for a 7% gain
Ather Energy shares rally 8% while Eicher Motors, Hero MotoCorp shares drop up to 4%. Here's why
Tech View: Nifty upside seen at 24,500–24,600; support at 23,700
Olectra Greentech Limited Has Informed The Exchange About Unaudited Financial Results For The Quarter Ended 30Th June, 2026
Nippon India Nifty Smallcap 250 Index Direct-G"
2026-08-13,AWFIS.NS,AWFIS SPACE SOLUTIONS LTD,Industrials,,,,1.65,,310.15,266.65,,0.0,19465185280,27.42,410.14,7.43,20.74,23.25,7.36,106.98,170.74,41.63,3.25,105.7,N/A,2.72,14.01,3.83,Profit +106.98% YoY | EPS +105.7% YoY | EBITDA Margin 41.63%,No recent news
