Date,Stock,Company,Sector,Close Price,Daily Gain %,Week Gain %,Volume Spike (x avg),RSI (14d),52W High,52W Low,Dist from 52W High %,Sector Weekly Gain %,Market Cap,P/E Ratio,Revenue (Cr),Revenue QoQ %,Revenue YoY %,Net Profit (Cr),Profit QoQ %,Profit YoY %,Operating Profit (Cr),EBITDA Margin %,EPS,EPS Growth YoY %,Operating CF (Cr),Debt to Equity,ROE %,ROCE %,Growth Flags,News (Last 2 Days)
2026-06-30,INDIANB.NS,INDIAN BANK,Financial Services,,,,1.75,,876.35,792.86,,0.07,1099998167040,9.39,9889.27,2.04,12.09,3173.05,0.83,9.05,N/A,N/A,23.56,9.07,N/A,N/A,15.44,1.25,—,"Canara Bank, Bank of Baroda, Indian Bank pay Rs 7,023 cr dividend to govt for FY26
5-year Senior citizen FD interest rates up to 8.05%: SBI vs PNB vs HDFC Bank vs other banks
Banks boost renewable energy credit by 7% in April amid energy security concerns
Certificate Of Compliance With Cybersecurity And Cyber Resilience Framework (CSCRF) For SEBI Regulated Entities (Res)
Get multiple analysts' prediction on Indian Bank"
2026-06-30,VARROC.NS,VARROC ENGINEERING LTD.,Consumer Cyclical,,,,3.37,,624.45,533.8,,0.0,96721977344,43.0,2368.08,3.52,12.81,69.31,773.16,236.91,229.3,9.68,4.54,236.3,N/A,0.51,13.46,6.61,Profit +236.91% YoY | Profit +773.16% QoQ | EPS +236.3% YoY,"Stock picks of the week: 5 stocks with consistent score improvement and upside potential of up to 27% in 1 year
Disclosures under Reg. 10(6) of SEBI (SAST) Regulations, 2011
Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011
Disclosures under Reg. 29(1) of SEBI (SAST) Regulations, 2011
Unlock Stock Score, Analyst' Ratings & Recommendations"
2026-06-30,AUROPHARMA.NS,AUROBINDO PHARMA LTD,Healthcare,,,,2.08,,1555.2,1376.0,,3.14,908349079552,26.16,8751.5,1.71,10.87,921.26,1.21,8.92,1867.39,21.34,15.86,8.93,N/A,0.21,9.93,5.86,—,"Quant Mid Cap Fund adds Adani Energy and 4 others, exits Paytm and 3 more stocks in May
Stocks in news: Rajesh Exports, Lenskart, Suzlon Energy, Aurobindo Pharma, Tata Motors
Quant Mid Cap Fund exits Lenskart Solutions and 2 other stocks, adds SAIL in April
Announcement under Regulation 30 (LODR)-Updates on Acquisition
Get multiple analysts' prediction on Aurobindo Pharma"
2026-06-30,JUBLPHARMA.NS,JUBILANT PHARMOVA LTD,Healthcare,,,,2.27,,1014.2,926.6,,3.14,153778110464,38.68,2272.2,7.38,25.28,119.4,113.6,18.33,363.0,15.98,7.55,18.52,N/A,0.51,5.96,3.62,Revenue +25.28% YoY | Profit +113.6% QoQ,"These mid-cap stocks with ‘Strong Buy’ & ‘Buy’ recos can rally over 25%, according to analysts
Dip buying: Sunil Singhania-backed Abakkus Flexi Cap Fund picks 1.4% stake in Heritage Foods in March
Top individual investors see mixed fortunes in December quarter
Get multiple analysts' prediction on Jubilant Life"
2026-06-30,SRF.NS,SRF LTD,Industrials,,,,1.63,,2798.5,2518.6,,-0.41,811856101376,44.31,4531.83,25.48,33.03,582.02,34.52,114.7,1050.58,23.18,19.63,114.54,N/A,0.36,13.76,7.56,Revenue +33.03% YoY | Revenue +25.48% QoQ | Profit +114.7% YoY | Profit +34.52% QoQ | EPS +114.54% YoY,No recent news
2026-06-30,WEWORK.NS,WEWORK INDIA MANAGEMENT L,Real Estate,,,,5.4,,650.85,483.85,,0.0,95530262528,128.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,—,No recent news
2026-06-30,FEDERALBNK.NS,FEDERAL BANK LTD,Financial Services,,,,1.65,,325.2,280.05,,0.07,814102151168,18.89,4730.81,15.32,30.46,1340.97,22.57,42.03,N/A,N/A,5.44,41.3,N/A,N/A,11.73,1.18,Revenue +30.46% YoY | Revenue +15.32% QoQ | Profit +42.03% YoY | Profit +22.57% QoQ | EPS +41.3% YoY,"SBI Cards tops credit card additions in May as industry hits 12 crore milestone; spends grow 6.3% YoY
FCNR deposit rates up to 6.5%: Bank of Baroda, Indian Overseas Bank and others launch schemes for NRIs, OCIs
India banks could raise $35-$40 billion via RBI's foreign currency deposit scheme, PNB CEO Ashok Chandra says
Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
Get multiple analysts' prediction on Federal Bank"
2026-06-30,ARE&M.NS,AMARA RAJA ENERGY MOB LTD,Industrials,,,,1.53,,905.95,796.3,,-0.41,154098204672,17.21,3535.75,3.68,8.05,314.33,124.28,5.35,412.34,11.66,17.17,5.34,N/A,0.05,11.57,5.14,Profit +124.28% QoQ,No recent news
2026-06-30,KOTAKBANK.NS,KOTAK MAHINDRA BANK LTD,Financial Services,,,,1.7,,409.0,371.35,,0.07,3901500948480,20.24,20755.33,1.45,3.4,5423.15,10.13,9.94,N/A,N/A,5.45,9.88,N/A,N/A,11.39,2.05,—,"Kotak Mahindra Bank to acquire Deutsche Bank’s retail banking, private banking and wealth management business in India
Kotak Mahindra Bank to acquire Deutsche Bank's India retail banking business
Delayed monsoon may weigh on auto demand, but long-term outlook stays strong: Aditya Shah
Acquisition By The Bank Of Deutsche Bank AG'S Retail Banking, Private Banking And Wealth Management Business In India
Get multiple analysts' prediction on Kotak Bank"
2026-06-30,KPITTECH.NS,KPIT TECHNOLOGIES LIMITED,Technology,,,,4.21,,809.25,703.7,,-1.42,182814195712,28.83,1711.0,5.78,11.95,163.05,22.31,-33.37,328.64,19.21,5.99,-33.52,N/A,0.24,19.73,10.63,Profit +22.31% QoQ,"IT needs selectivity, not blind bargain hunting; Energy, defence and healthcare offer better opportunities: Gurmeet Chadha
Swiggy, Urban Company report Q4 losses; Zepto gets IPO nod
KPIT Technologies shares slide 4% as Q4 profit falls 33% YoY to Rs 163 crore
Outlook For Q1FY27 And For The Remainder Of The Year
Get multiple analysts' prediction on KPIT Tech"
